week,actors,cumulative
266,[],0
267,[],0
268,[],0
269,[],0
270,[],0
271,[],0
272,[],0
273,[],0
274,"[{'name': '@nytimes', 'frequency': 1}]",1
275,[],0
276,[],0
277,"[{'name': '@nytimes', 'frequency': 1}]",1
278,"[{'name': '@NBCNews', 'frequency': 1}, {'name': '@WashTimes', 'frequency': 1}]",2
279,"[{'name': '@nytimes', 'frequency': 1}]",1
280,[],0
281,[],0
282,[],0
283,[],0
284,[],0
285,[],0
286,[],0
287,"[{'name': '@MSNBC', 'frequency': 1}]",1
288,[],0
289,[],0
290,[],0
291,[],0
292,[],0
293,[],0
294,[],0
295,[],0
296,[],0
297,[],0
298,[],0
299,[],0
300,[],0
301,"[{'name': '@thehill', 'frequency': 1}]",1
302,"[{'name': '@MSNBC', 'frequency': 1}]",1
303,"[{'name': '@NBCNews', 'frequency': 1}, {'name': '@WSJ', 'frequency': 1}]",2
304,[],0
305,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@MSNBC', 'frequency': 1}]",2
306,[],0
307,"[{'name': '@MSNBC', 'frequency': 1}]",1
308,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@MSNBC', 'frequency': 1}]",2
309,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@FrankLuntz', 'frequency': 1}, {'name': '@WSJ', 'frequency': 2}]",4
310,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@NBCNews', 'frequency': 1}]",2
311,"[{'name': '@MittRomney', 'frequency': 1}]",1
312,[],0
313,"[{'name': '@nytimes', 'frequency': 2}, {'name': '@MSNBC', 'frequency': 1}]",3
314,[],0
